city,property_type,amenities
RGTHEN,Hostel,Parking
RGTHEN,Villa,Bonfire/Fireplace
RGTHEN,Cottage,Bonfire/Fireplace
CTXOO,Apartment,TV
CTXOO,Homestay,Balcony/Terrace
CTXOO,Hostel,Parking
CTXOO,Villa,Bonfire/Fireplace
CTXOO,Cottage,Bonfire/Fireplace
XOO,Apartment,TV
XOO,Homestay,Balcony/Terrace
XOO,Hostel,Parking
XOO,Villa,Bonfire/Fireplace
XOO,Cottage,Bonfire/Fireplace
RGTHEN,Apartment,Wifi
RGTHEN,Homestay,Parking
RGTHEN,Hostel,Washing Machine
RGTHEN,Villa,Balcony/Terrace
RGTHEN,Cottage,Balcony/Terrace
CTXOO,Apartment,Wifi
CTXOO,Homestay,Parking
CTXOO,Hostel,Washing Machine
CTXOO,Villa,Balcony/Terrace
CTXOO,Cottage,Balcony/Terrace
XOO,Apartment,Wifi
XOO,Homestay,Parking
XOO,Hostel,Washing Machine
XOO,Villa,Balcony/Terrace
XOO,Cottage,Balcony/Terrace
RGTHEN,Apartment,Parking
RGTHEN,Homestay,TV
RGTHEN,Hostel,Café
RGTHEN,Villa,TV
RGTHEN,Cottage,TV
CTXOO,Apartment,Parking
CTXOO,Homestay,TV
CTXOO,Hostel,Café
CTXOO,Villa,TV
CTXOO,Cottage,TV
XOO,Apartment,Parking
XOO,Homestay,TV
XOO,Hostel,Café
XOO,Villa,TV
XOO,Cottage,TV
RGTHEN,Apartment,Lift/Elevator
RGTHEN,Homestay,Lawn
RGTHEN,Hostel,Indoor Games
RGTHEN,Villa,Washing Machine
RGTHEN,Cottage,Washing Machine
CTXOO,Apartment,Lift/Elevator
CTXOO,Homestay,Lawn
CTXOO,Hostel,Indoor Games
CTXOO,Villa,Washing Machine
CTXOO,Cottage,Washing Machine
XOO,Apartment,Lift/Elevator
XOO,Homestay,Lawn
XOO,Hostel,Indoor Games
XOO,Villa,Washing Machine
XOO,Cottage,Washing Machine
RGSLV,Apartment,Kitchen
RGSLV,Homestay,Caretaker
RGSLV,Hostel,Wifi
RGSLV,Villa,Swimming Pool
RGSLV,Cottage,Swimming Pool
CTSLV,Apartment,Kitchen
CTSLV,Homestay,Caretaker
CTSLV,Hostel,Wifi
CTSLV,Villa,Swimming Pool
CTSLV,Cottage,Swimming Pool
SLV,Apartment,Kitchen
SLV,Homestay,Caretaker
SLV,Hostel,Wifi
SLV,Villa,Swimming Pool
SLV,Cottage,Swimming Pool
RGSLV,Apartment,Caretaker
RGSLV,Homestay,Wifi
RGSLV,Hostel,Bonfire
RGSLV,Villa,Caretaker
RGSLV,Cottage,Caretaker
CTSLV,Apartment,Caretaker
CTSLV,Homestay,Wifi
CTSLV,Hostel,Bonfire
CTSLV,Villa,Caretaker
CTSLV,Cottage,Caretaker
SLV,Apartment,Caretaker
SLV,Homestay,Wifi
SLV,Hostel,Bonfire
SLV,Villa,Caretaker
SLV,Cottage,Caretaker
RGSLV,Apartment,Living Room
RGSLV,Homestay,Kitchen
RGSLV,Hostel,Living Room
RGSLV,Villa,Wifi
RGSLV,Cottage,Wifi
CTSLV,Apartment,Living Room
CTSLV,Homestay,Kitchen
CTSLV,Hostel,Living Room
CTSLV,Villa,Wifi
CTSLV,Cottage,Wifi
SLV,Apartment,Living Room
SLV,Homestay,Kitchen
SLV,Hostel,Living Room
SLV,Villa,Wifi
SLV,Cottage,Wifi
RGSLV,Apartment,Balcony/Terrace
RGSLV,Homestay,Living Room
RGSLV,Hostel,Kitchen
RGSLV,Villa,Kitchen
RGSLV,Cottage,Kitchen
CTSLV,Apartment,Balcony/Terrace
CTSLV,Homestay,Living Room
CTSLV,Hostel,Kitchen
CTSLV,Villa,Kitchen
CTSLV,Cottage,Kitchen
SLV,Apartment,Balcony/Terrace
SLV,Homestay,Living Room
SLV,Hostel,Kitchen
SLV,Villa,Kitchen
SLV,Cottage,Kitchen
RGSLV,Apartment,TV
RGSLV,Homestay,Balcony/Terrace
RGSLV,Hostel,Parking
RGSLV,Villa,Bonfire/Fireplace
